Navn;Stasjon;Tid(norsk normaltid);Midlere lufttrykk i havnivå (døgn);Høyeste lufttrykk i havnivå (døgn);Laveste lufttrykk i havnivå (døgn);Svakeste middelvind fra hovedobs. (døgn);Kraftigste middelvind fra hovedobs. (døgn)
Torungen Fyr;SN36200;23.07.1961;1010;1010,9;1008,8;6,2;6,7
Torungen Fyr;SN36200;24.07.1961;1015,1;1015,4;1014,9;5,7;10,3
Torungen Fyr;SN36200;25.07.1961;1014,9;1016,2;1013,2;6,2;12,3
Torungen Fyr;SN36200;26.07.1961;998,8;1003;995,5;6,2;10,3
Torungen Fyr;SN36200;27.07.1961;990,4;991,4;989,7;10,3;11,3
Torungen Fyr;SN36200;28.07.1961;990,8;993,9;988,8;6,7;8,2
Torungen Fyr;SN36200;29.07.1961;1007,5;1010,4;1003,8;3,6;8,2
Torungen Fyr;SN36200;30.07.1961;1017,5;1018,3;1016;3,6;5,7
Torungen Fyr;SN36200;31.07.1961;1019,3;1020;1018,9;3,1;6,2
Torungen Fyr;SN36200;01.08.1961;1014;1016,2;1011,2;2,1;4,6
Torungen Fyr;SN36200;02.08.1961;1004,7;1005,3;1004,1;3,1;8,2
Torungen Fyr;SN36200;03.08.1961;1009,3;1009,5;1009;8,2;9,3
Torungen Fyr;SN36200;04.08.1961;998,9;1003;994,1;2,1;12,3
Torungen Fyr;SN36200;05.08.1961;1006,2;1006,9;1004,9;7,2;14,4
Torungen Fyr;SN36200;06.08.1961;1002,8;1004,5;1000,6;4,1;13,9
Torungen Fyr;SN36200;07.08.1961;1007,9;1008,8;1007;1,5;7,2
Torungen Fyr;SN36200;08.08.1961;1012,9;1013,9;1011,4;2,1;8,2
Torungen Fyr;SN36200;09.08.1961;1007,3;1008,4;1006,6;12,9;17,5
Torungen Fyr;SN36200;10.08.1961;1013,5;1013,9;1013,3;10,3;11,3
Torungen Fyr;SN36200;11.08.1961;1013,1;1014,4;1011,6;4,6;9,8
Torungen Fyr;SN36200;12.08.1961;1011,7;1012,3;1010,9;3,1;6,2
Torungen Fyr;SN36200;13.08.1961;1015,8;1016,3;1015,3;5,7;9,8
Torungen Fyr;SN36200;14.08.1961;1007,6;1010,9;1004,4;7,2;10,8
Torungen Fyr;SN36200;15.08.1961;1001,7;1002,4;1000,9;2,1;3,1
Torungen Fyr;SN36200;16.08.1961;1004;1004,3;1003,9;4,6;6,2
Torungen Fyr;SN36200;17.08.1961;1008,1;1008,8;1007,3;3,6;7,2
Torungen Fyr;SN36200;18.08.1961;1006,8;1007,9;1005,4;5,1;7,7
Torungen Fyr;SN36200;19.08.1961;1003,2;1003,6;1002,9;4,1;7,7
Torungen Fyr;SN36200;20.08.1961;1000,4;1001,1;999,8;5,1;6,7
Torungen Fyr;SN36200;21.08.1961;997,3;999,3;994,9;4,1;7,2
Torungen Fyr;SN36200;22.08.1961;996,6;999,1;993,7;4,1;6,2
Torungen Fyr;SN36200;23.08.1961;1006,5;1007,8;1004,6;1,5;6,2
Torungen Fyr;SN36200;24.08.1961;1007,5;1008,4;1006,9;3,1;10,8
Torungen Fyr;SN36200;25.08.1961;1010,5;1011,1;1009,8;6,2;9,3
Torungen Fyr;SN36200;26.08.1961;1011,1;1011,7;1010,4;6,2;8,2
Torungen Fyr;SN36200;27.08.1961;1012,4;1014,6;1010;8,7;10,3
Torungen Fyr;SN36200;28.08.1961;1018,5;1020,4;1016,5;5,7;10,3
Torungen Fyr;SN36200;29.08.1961;1022,7;1023,2;1021,7;5,7;11,8
Torungen Fyr;SN36200;30.08.1961;1022,6;1023;1022,4;2,1;3,6
Torungen Fyr;SN36200;31.08.1961;1025,1;1025,7;1024,7;3,1;3,6
Torungen Fyr;SN36200;01.09.1961;1021,8;1023,2;1020,1;3,1;10,3
Torungen Fyr;SN36200;02.09.1961;1017;1019;1014,3;3,1;9,3
Torungen Fyr;SN36200;03.09.1961;1012,8;1013,5;1012,4;3,1;3,6
Torungen Fyr;SN36200;04.09.1961;1015,3;1016;1014;3,1;4,6
Torungen Fyr;SN36200;05.09.1961;1007,3;1010,9;1002,3;5,7;13,4
Torungen Fyr;SN36200;06.09.1961;999,7;1000,5;998,2;5,1;7,7
